,OARs,DL_MEAN,DL_STD,CL_MEAN,CL_STD
0,BSTEM,3.05,0.6689544080129826,4.3,0.45825756949558405
1,SPCOR,3.8,0.39999999999999997,4.0,0.6324555320336759
2,ESOPH,3.05,1.023474474522936,3.7,0.9
3,LARYNX,2.0,0.9486832980505138,3.75,0.82915619758885
4,MAND,3.75,1.299038105676658,4.25,0.7664854858377946
5,LPAR RPAR,3.95,1.0712142642814275,3.95,0.9987492177719091
6,LACOU RACOU,2.95,0.8351646544245033,3.0,0.7071067811865476
7,RPLEX LPLEX,3.8,0.6782329983125268,3.65,0.7599342076785331
8,LLENS RLENS,4.1,0.8602325267042626,4.15,0.5722761571129799
9,LEYE REYE,2.95,0.8046738469715541,3.6,0.7681145747868608
10,LOPTIC ROPTIC,2.95,0.6689544080129826,3.95,0.6689544080129826
11,CHIASM,2.45,1.0712142642814275,2.8,1.2884098726725124
12,LIPS,3.2,0.812403840463596,3.7,0.6403124237432849
