,OAR,MEAN_VOLDICE,MEDIAN_VOLDICE,STD_VOLDICE,MEAN_95HD,MEDIAN_95HD,STD_95HD,MEAN_SD,MEDIAN_SD,STD_SD
0,BSTEM,0.8102172380786831,0.8151089549064636,0.05073723875648574,4.3041131284374226,3.1622776601683795,5.466099156213325,1.6275587413085146,1.5244578014612793,0.5537613891031024
1,SPCOR,0.8502205064741232,0.8553333878517151,0.046153230891144426,4.312920559792886,2.449489742783178,4.386839503715043,1.1679303856433194,1.048230425327042,0.6111559962985028
2,ESOPH,0.7742953295424834,0.7946145534515381,0.08114849548671639,5.853037100843562,4.0,6.042241140624888,1.3737695156934913,1.1184115554421765,0.6361835815670365
3,LARYNX,0.8547505382764138,0.8767060041427612,0.06685421413555263,4.833411560187668,2.23606797749979,15.778612656193769,1.2247987606655046,0.9000444792910466,1.3589221607809172
4,MAND,0.9156445234508838,0.919542133808136,0.02703797985285251,2.1608079487912373,1.4142135623730951,5.010939336464874,0.7059959702606142,0.5793403633109387,0.6022779655082418
5,LPAR,0.8361818618693594,0.8501362204551697,0.055309862805374164,5.305054879396492,3.6055512754639896,5.499149073326984,1.5201355237658372,1.1703298143589542,0.8263001967317319
6,RPAR,0.835549133304917,0.8558292984962463,0.11760626085722496,5.038794482025297,3.1622776601683795,5.925869837864238,1.5135519768293282,1.0657759015768284,1.952589072109028
7,LACOU,0.7401305689650067,0.7914308905601501,0.1715617657468886,3.6916660272953994,1.7320508075688772,9.924186783563364,1.976993130854158,0.6313474764552458,8.525729933268266
8,RACOU,0.7303508580741236,0.7888845801353455,0.16440963242784873,3.825464328161526,2.0,9.935845440364107,2.0540391427209044,0.715550023575843,8.7323365320717
9,RPLEX,0.7015485266002558,0.7429019212722778,0.12938273449344376,7.022000547661368,2.449489742783178,18.32778092479125,1.7050815366903147,0.9780738384441285,2.509877001196221
10,LPLEX,0.7022798884723146,0.7429551482200623,0.11940590565019944,7.405776130230271,3.0,18.158337990558632,1.743536912779327,0.9939528048667857,2.3587652075052934
11,LLENS,0.7650206472914097,0.7774648070335388,0.07424165537863364,1.4406684627963307,1.4142135623730951,0.4377553181947638,0.5736547242854996,0.554768722630789,0.17691728174459928
12,RLENS,0.7847970133110628,0.801822304725647,0.09633070074465444,1.4412521475678408,1.4142135623730951,0.5970662332021396,0.4956697220659557,0.484375,0.18086092036704518
13,LEYE,0.8759344998052565,0.8799746036529541,0.04317378181375813,1.8343822540626753,1.4142135623730951,0.91551483314644,0.7644826970588031,0.7395834306119654,0.2842202690678215
14,REYE,0.8748420002096791,0.8786284327507019,0.037050378909249254,1.7882757649857406,1.7320508075688772,0.5429886815798802,0.7604693786074143,0.7280724578137391,0.20330916602832502
15,LOPTIC,0.7212670521210816,0.7415891289710999,0.09519006924711876,1.9631807776202455,1.4142135623730951,1.280114286476107,0.6516259552960154,0.5692232687460175,0.3438473426116364
16,ROPTIC,0.700430406352221,0.7245790958404541,0.09676091501075143,2.3420669091525768,1.4142135623730951,2.555388268885948,0.7348457954105764,0.6165217746544465,0.4771110010823022
17,CHIASM,0.4109017175890632,0.3949044644832611,0.17610005256867023,6.588317342705062,5.477225575051661,4.463325279127667,1.734955870050497,1.2759782360810505,1.7083952206228572
18,LIPS,0.7381920354851221,0.7529987096786499,0.0819238740570873,3.063922755227363,2.449489742783178,1.5343144611889536,1.0358855848261537,0.9300956914486991,0.47136183607048165
